bits,l,time setup,time encrypt,time keygen,time decrypt,time total
512,100,11247396.469116211,11095523.834228516,150918.96057128906,7285356.521606445,29779195.78552246
1024,100,85023880.00488281,79819440.8416748,427722.9309082031,45597553.25317383,210868597.03063965
1536,100,260601997.37548828,256399631.50024414,577926.6357421875,135220766.06750488,652800321.5789795
2048,100,545315980.9112549,555229425.4302979,1125812.5305175781,294184684.75341797,1395855903.6254883
2560,100,1052980899.810791,1025734901.4282227,1304388.0462646484,537582635.8795166,2617602825.164795
3072,100,1709619760.5133057,1725472211.8377686,1694202.4230957031,1030916452.4078369,4467702627.182007
3584,100,2862875461.578369,2972620248.7945557,2528905.8685302734,1679530143.737793,7517554759.979248
4096,100,4687712192.5354,4576303482.055664,3790140.151977539,2528229951.8585205,11796035766.601562
