bits,l,time setup,time encrypt,time keyder,time decrypt,time total
512,100,7505178.451538086,14441967.010498047,66757.2021484375,9355783.462524414,31369686.126708984
1024,100,46766519.54650879,93453884.12475586,221490.85998535156,61468362.80822754,201910257.33947754
1536,100,183992385.8642578,510951280.5938721,1489400.863647461,522759437.56103516,1219192504.8828125
2048,100,350135326.38549805,699251174.9267578,402212.14294433594,376881361.0076904,1426670074.4628906
2560,100,699211359.0240479,1344531536.102295,603437.4237060547,701729297.6379395,2746075630.1879883
3072,100,1147750616.0736084,2221175670.6237793,731468.2006835938,1160642147.064209,4530299901.96228
3584,100,1633476734.161377,3395055532.4554443,971794.1284179688,1739216566.0858154,6768720626.831055
4096,100,1850802183.151245,3826773166.656494,972270.9655761719,2000255346.2982178,7678802967.071533
