k,m,n,x_max,y_max,F_max,time setup,time keygen,time encrypt,time decrypt,time total
42,42,41,3,2,2,6587982.177734375,31189680.099487305,13722419.738769531,10618376731.872559,10669876813.88855
43,43,42,3,2,2,6376743.316650391,31911134.719848633,13256788.25378418,11343329191.207886,11394873857.498169
44,44,43,3,2,2,6170272.8271484375,33761262.89367676,17263889.31274414,15236936330.795288,15294131755.828857
45,45,44,3,2,2,7128715.515136719,43325662.61291504,19751310.348510742,13833964586.257935,13904170274.734497
46,46,45,3,2,2,7757902.145385742,52965879.44030762,24178266.525268555,14043884038.92517,14128786087.036133
47,47,46,3,2,2,7980108.261108398,44002056.12182617,16958713.53149414,13664056777.954102,13732997655.86853
48,48,47,3,2,2,8575439.453125,52340507.50732422,19949436.18774414,14684565067.29126,14765430450.439453
49,49,48,3,2,2,7711172.103881836,47823667.52624512,18707513.8092041,14322425603.866577,14396667957.305908
50,50,49,3,2,2,7686138.153076172,56576728.82080078,22772550.582885742,16555736780.166626,16642772197.723389
51,51,50,3,2,2,11426448.822021484,69043397.90344238,36031484.603881836,19612684965.133667,19729186296.463013
52,52,51,3,2,2,9912967.681884766,80150365.82946777,30993223.190307617,16849142551.42212,16970199108.12378
53,53,52,3,2,2,9009599.685668945,60625553.131103516,24341106.414794922,19560949087.142944,19654925346.37451
54,54,53,3,2,2,11496782.302856445,102959871.29211426,37379026.41296387,19329984903.33557,19481820583.343506
55,55,54,3,2,2,11382102.966308594,69127321.24328613,30180931.091308594,19647705793.380737,19758396148.68164
56,56,55,3,2,2,9137392.044067383,71391582.48901367,27763843.536376953,20468862295.150757,20577155113.220215
57,57,56,3,2,2,11049747.467041016,92998027.80151367,36047697.06726074,22002410650.253296,22142506122.58911
58,58,57,3,2,2,10089635.848999023,106313228.60717773,43191671.37145996,20782120704.65088,20941715240.478516
59,59,58,3,2,2,10338544.845581055,84228515.625,31000137.329101562,21906886100.769043,22032453298.568726
60,60,59,3,2,2,11389970.779418945,97213983.5357666,36809444.427490234,23088255882.263184,23233669281.00586
61,61,60,3,2,2,11750459.671020508,97020149.23095703,35309076.3092041,22301540613.17444,22445620298.38562
62,62,61,3,2,2,14570713.04321289,125684738.15917969,49385786.056518555,26305692195.892334,26495333433.151245
63,63,62,3,2,2,14162778.854370117,118689537.04833984,47719240.18859863,26483964204.788208,26664535760.879517
64,64,63,3,2,2,12278079.986572266,102922916.41235352,39194107.05566406,27003728866.57715,27158123970.03174
